Config,Algorithm,Problem,Run,Score
baseline,CMAES,prob1,1,36.34498416605864
baseline,CMAES,prob1,2,36.35674854777089
baseline,CMAES,prob1,3,36.356575189913215
baseline,CMAES,prob2,1,31.48094614474443
baseline,CMAES,prob2,2,31.48129699727518
baseline,CMAES,prob2,3,31.480946762261837
baseline,CMAES,prob3,1,28.512560929748663
baseline,CMAES,prob3,2,28.270678742446616
baseline,CMAES,prob3,3,28.57787128038807
baseline,CMAES,prob4,1,6045.334447153844
baseline,CMAES,prob4,2,5808.9640483119265
baseline,CMAES,prob4,3,6226.276401881514
baseline,DE,prob1,1,36.602908433685556
baseline,DE,prob1,2,36.69448730122863
baseline,DE,prob1,3,36.56015406784014
baseline,DE,prob2,1,31.481347241601433
baseline,DE,prob2,2,31.48343999509838
baseline,DE,prob2,3,31.481303008672697
baseline,DE,prob3,1,30.64988116881263
baseline,DE,prob3,2,30.53532588649193
baseline,DE,prob3,3,30.681913310888387
baseline,DE,prob4,1,6064.853270972669
baseline,DE,prob4,2,6489.106503911753
baseline,DE,prob4,3,6172.617379912442
baseline,GA,prob1,1,37.88538236563301
baseline,GA,prob1,2,37.691614247513755
baseline,GA,prob1,3,36.56103733849901
baseline,GA,prob2,1,31.49361273098789
baseline,GA,prob2,2,31.497452268761705
baseline,GA,prob2,3,31.488491290876784
baseline,GA,prob3,1,40.49783643265582
baseline,GA,prob3,2,42.428288771411964
baseline,GA,prob3,3,43.39872937565759
baseline,GA,prob4,1,5505.947780815837
baseline,GA,prob4,2,6212.17665695653
baseline,GA,prob4,3,6104.668989704908
baseline,MultiSegment,prob1,1,36.465030366830575
baseline,MultiSegment,prob1,2,38.389057045912615
baseline,MultiSegment,prob1,3,38.389175679658415
baseline,MultiSegment,prob2,1,22538.770496853278
baseline,MultiSegment,prob2,2,22538.77049685337
baseline,MultiSegment,prob2,3,22538.770496853365
baseline,MultiSegment,prob3,1,29.73413135526346
baseline,MultiSegment,prob3,2,29.58847696168939
baseline,MultiSegment,prob3,3,28.39653331972007
baseline,MultiSegment,prob4,1,8000.793819152615
baseline,MultiSegment,prob4,2,8139.119743378002
baseline,MultiSegment,prob4,3,8574.030606803544
baseline,BIPOP,prob1,1,37.354748623822836
baseline,BIPOP,prob1,2,38.39047491504777
baseline,BIPOP,prob1,3,37.36220433018994
baseline,BIPOP,prob2,1,31.480946144745054
baseline,BIPOP,prob2,2,31.48094614474437
baseline,BIPOP,prob2,3,31.48094614474443
baseline,BIPOP,prob3,1,28.28370652073048
baseline,BIPOP,prob3,2,29.381447864302217
baseline,BIPOP,prob3,3,28.94610388455065
baseline,BIPOP,prob4,1,5149.519904392656
baseline,BIPOP,prob4,2,3104.26083132861
baseline,BIPOP,prob4,3,5782.328177993266
baseline,SHADE,prob1,1,36.4885560596274
baseline,SHADE,prob1,2,36.35204997884288
baseline,SHADE,prob1,3,36.40889981556175
baseline,SHADE,prob2,1,31.48094614474413
baseline,SHADE,prob2,2,31.4809461447441
baseline,SHADE,prob2,3,31.48094614474418
baseline,SHADE,prob3,1,28.805076168710606
baseline,SHADE,prob3,2,28.315523280870696
baseline,SHADE,prob3,3,28.227540415364608
baseline,SHADE,prob4,1,5767.947892555467
baseline,SHADE,prob4,2,5418.860147207216
baseline,SHADE,prob4,3,6496.14359647476
baseline,BipopAdaptif,prob1,1,37.35896765520297
baseline,BipopAdaptif,prob1,2,37.379730298010784
baseline,BipopAdaptif,prob1,3,38.390347212690465
baseline,BipopAdaptif,prob2,1,31.48094614474796
baseline,BipopAdaptif,prob2,2,31.48094644865319
baseline,BipopAdaptif,prob2,3,31.480946144744514
baseline,BipopAdaptif,prob3,1,29.006252395984685
baseline,BipopAdaptif,prob3,2,28.864761117339167
baseline,BipopAdaptif,prob3,3,29.542772466545156
baseline,BipopAdaptif,prob4,1,5740.99618119485
baseline,BipopAdaptif,prob4,2,5803.718804668326
baseline,BipopAdaptif,prob4,3,5468.211954899145
