Strategy,Algorithm,Problem,Run,Score
RANDOM,BIPOP,prob1,1,37.378704440695984
RANDOM,BIPOP,prob1,2,37.384546498688586
RANDOM,BIPOP,prob1,3,38.389462369918554
RANDOM,BIPOP,prob2,1,31.480946144744482
RANDOM,BIPOP,prob2,2,31.480946144745438
RANDOM,BIPOP,prob2,3,31.48094661295954
RANDOM,BIPOP,prob3,1,28.337220335156196
RANDOM,BIPOP,prob3,2,28.721057899411132
RANDOM,BIPOP,prob3,3,28.219395471356016
RANDOM,BIPOP,prob4,1,5608.594680076596
RANDOM,BIPOP,prob4,2,3067.2512999567703
RANDOM,BIPOP,prob4,3,5667.924873012873
RANDOM,L-SHADE,prob1,1,38.38786658328073
RANDOM,L-SHADE,prob1,2,37.356304096072726
RANDOM,L-SHADE,prob1,3,37.367969326117894
RANDOM,L-SHADE,prob2,1,31.48094614474408
RANDOM,L-SHADE,prob2,2,31.480946144744024
RANDOM,L-SHADE,prob2,3,31.480946144744067
RANDOM,L-SHADE,prob3,1,28.826820989268086
RANDOM,L-SHADE,prob3,2,28.74533996161354
RANDOM,L-SHADE,prob3,3,28.304633857718386
RANDOM,L-SHADE,prob4,1,5418.860147705651
RANDOM,L-SHADE,prob4,2,5418.860147407665
RANDOM,L-SHADE,prob4,3,5418.860147622301
RANDOM,CLPSO,prob1,1,36.691147639356885
RANDOM,CLPSO,prob1,2,36.599357533562326
RANDOM,CLPSO,prob1,3,36.5548788904272
RANDOM,CLPSO,prob2,1,31.541707783244473
RANDOM,CLPSO,prob2,2,31.64966555206518
RANDOM,CLPSO,prob2,3,31.64489419294772
RANDOM,CLPSO,prob3,1,32.651402034786905
RANDOM,CLPSO,prob3,2,32.53891918223126
RANDOM,CLPSO,prob3,3,36.0121479349744
RANDOM,CLPSO,prob4,1,5495.882363348704
RANDOM,CLPSO,prob4,2,5465.119874608874
RANDOM,CLPSO,prob4,3,5463.2259039641785
CENTER_LINE,BIPOP,prob1,1,37.38928577235948
CENTER_LINE,BIPOP,prob1,2,38.38986407774601
CENTER_LINE,BIPOP,prob1,3,37.35841586706599
CENTER_LINE,BIPOP,prob2,1,31.480946647802245
CENTER_LINE,BIPOP,prob2,2,31.480946144744475
CENTER_LINE,BIPOP,prob2,3,31.480946144744532
CENTER_LINE,BIPOP,prob3,1,29.462989009918825
CENTER_LINE,BIPOP,prob3,2,29.402071330573868
CENTER_LINE,BIPOP,prob3,3,30.147035169983003
CENTER_LINE,BIPOP,prob4,1,5462.339281134729
CENTER_LINE,BIPOP,prob4,2,3035.3456461106766
CENTER_LINE,BIPOP,prob4,3,5553.264457875265
CENTER_LINE,L-SHADE,prob1,1,38.38660523058524
CENTER_LINE,L-SHADE,prob1,2,36.3365001637645
CENTER_LINE,L-SHADE,prob1,3,37.35671613953594
CENTER_LINE,L-SHADE,prob2,1,31.480946144744095
CENTER_LINE,L-SHADE,prob2,2,31.48094614474404
CENTER_LINE,L-SHADE,prob2,3,31.480946144744085
CENTER_LINE,L-SHADE,prob3,1,34.59863025632322
CENTER_LINE,L-SHADE,prob3,2,28.744507223146393
CENTER_LINE,L-SHADE,prob3,3,29.127770329465676
CENTER_LINE,L-SHADE,prob4,1,5418.906646393787
