Algorithm,Problem,Run,Score
PSO,prob1,1,37.80113970318604
PSO,prob1,2,37.91389497446862
PSO,prob1,3,36.781812343239594
PSO,prob1,4,37.970110471194765
PSO,prob1,5,36.90772927890545
PSO,prob1,6,37.666336425694865
PSO,prob1,7,38.00203422537462
PSO,prob1,8,36.72436582633999
PSO,prob1,9,36.70252520465048
PSO,prob1,10,37.853497816848446
PSO,prob2,1,31.46033173704689
PSO,prob2,2,31.473935329751207
PSO,prob2,3,31.539920912596536
PSO,prob2,4,31.445388571501663
PSO,prob2,5,31.45162264799823
PSO,prob2,6,31.461525235430077
PSO,prob2,7,31.59163152677414
PSO,prob2,8,31.45912446098788
PSO,prob2,9,31.493061886126238
PSO,prob2,10,31.539849593372335
PSO,prob3,1,43.0136582617369
PSO,prob3,2,46.34946324080146
PSO,prob3,3,43.48649549307428
PSO,prob3,4,41.97902758833365
PSO,prob3,5,36.352041061434576
PSO,prob3,6,71.14256363774483
PSO,prob3,7,53.298924138596036
PSO,prob3,8,42.87410744584189
PSO,prob3,9,36.181894481803475
PSO,prob3,10,36.509029784947124
PSO,prob4,1,3519.975197558642
PSO,prob4,2,2617.3025929015052
PSO,prob4,3,2079.724383590864
PSO,prob4,4,3238.767683843469
PSO,prob4,5,3962.411573524621
PSO,prob4,6,2224.4649602002387
PSO,prob4,7,3455.234298940981
PSO,prob4,8,3308.263176396135
PSO,prob4,9,2509.2034864095626
PSO,prob4,10,2498.573342422407
