Algo,Problem,BKS,BestX,nRestarts
CMAES,prob1,36,319325,"[10,229741,15,789328,0,093643,0,040048,3,833381,2,629872,13,439729,25,954724,6,793487,22,848391,0,525754,0,197899,16,626644,14,577434,2,664342,25,662899,0,678434,22,013977,24,636133,9,722570,17,867748,25,765703,0,129766,19,019220,4,401575,11,715425,25,797733,24,768667,23,109804,24,006609,11,345443,16,474833]",5
CMAES,prob2,31,480964,"[0,937328,1,003468,0,000000,11,906058,0,000040,10,040515,0,898209,20,996436]",5
CMAES,prob3,28,219245,"[6,321547,8,671555,14,687139,0,036786,5,506890,14,916466,0,092864,2,720417,25,253680,5,204569,21,390503,13,604862,10,569043,0,050459,20,296305,9,158106]",5
CMAES,prob4,2839,766068,"[25,835884,7,118073,26,000000,0,000000,14,840516,0,000000,0,000000,25,395846,23,273452,26,000000,24,275957,24,670560,24,201652,26,000000,23,334105,21,953613]",10
DE,prob1,36,337834,"[6,544347,10,200577,6,680364,6,020574,2,709306,14,446052,5,427205,0,003091,9,015092,21,003729,8,414771,6,841350,1,191972,22,331241,13,043939,22,751685,7,943019,4,450519,10,376114,23,787777,4,730166,17,294769,9,428538,22,843377,20,245888,14,242176,9,283941,20,748270,25,999058,25,628779,10,538433,15,485108]",5
DE,prob2,31,480946,"[21,082226,1,003520,22,000000,11,932809,22,000000,10,067188,21,082228,20,996480]",5
DE,prob3,29,041392,"[9,434250,1,004352,0,326279,10,824891,26,000000,7,138854,25,999999,2,979085,9,228944,12,732325,18,683200,1,759620,20,829959,10,231555,25,005192,13,003347]",5
DE,prob4,5418,860147,"[25,764688,7,054227,26,000000,0,000000,16,474955,0,000000,0,000000,0,000000,26,000000,0,000000,9,525045,0,000000,0,000000,0,000000,0,235312,7,054227]",10
GA,prob1,36,404551,"[11,029273,11,771340,5,402006,23,655702,1,346608,17,261940,25,980158,20,635058,13,888093,19,582316,17,334883,18,692573,17,949532,25,751489,24,953026,17,054723,17,227171,23,842519,21,054229,25,994060,22,965949,17,638579,20,955798,25,920687,19,904451,21,024280,23,989711,24,221137,26,000000,25,775892,22,155599,23,162120]",5
GA,prob2,31,486914,"[0,878867,0,997850,0,020201,12,178133,0,077637,9,550170,0,657625,21,000835]",5
GA,prob3,30,740347,"[1,545145,24,158235,10,995906,17,108057,25,929931,17,649709,24,560184,19,107644,13,439383,23,988750,19,469135,14,921691,25,004101,16,109094,23,434212,14,103076]",5
GA,prob4,5419,889554,"[25,765429,7,054835,26,000000,0,000000,16,457624,0,000000,0,133303,0,000000,25,594465,0,000000,9,678141,0,000000,0,000000,0,000000,0,227600,7,060543]",10
