idx,x,y
0,1.0000000000,1.0000000000
1,0.9353136283,1.2916310874
2,0.8731514503,1.5809731656
3,0.8134746353,1.8680335314
4,0.7562447056,2.1528194637
5,0.7014235343,2.4353382240
6,0.6489733444,2.7155970573
7,0.5988567068,2.9936031919
8,0.5510365389,3.2693638403
9,0.5054761032,3.5428861998
10,0.4621390054,3.8141774526
11,0.4209891933,4.0832447666
12,0.3819909547,4.3500952955
13,0.3451089166,4.6147361796
14,0.3103080426,4.8771745459
15,0.2775536325,5.1374175089
16,0.2468113196,5.3954721708
17,0.2180470701,5.6513456217
18,0.1912271809,5.9050449404
19,0.1663182783,6.1565771948
20,0.1432873162,6.4059494418
21,0.1221015748,6.6531687282
22,0.1027286590,6.8982420910
23,0.0851364964,7.1411765574
24,0.0692933361,7.3819791456
25,0.0551677473,7.6206568649
26,0.0427286170,7.8572167163
27,0.0319451491,8.0916656925
28,0.0227868625,8.3240107784
29,0.0152235896,8.5542589517
30,0.0092254745,8.7824171826
31,0.0047629716,9.0084924348
32,0.0018068440,9.2324916653
33,0.0003281618,9.4544218251
34,0.0002983005,9.6742898590
35,0.0016889396,9.8921027066
36,0.0044720606,10.1078673019
37,0.0086199457,10.3215905738
38,0.0141051763,10.5332794467
39,0.0209006309,10.7429408404
40,0.0289794841,10.9505816704
41,0.0383152043,11.1562088483
42,0.0488815528,11.3598292819
43,0.0606525818,11.5614498756
44,0.0736026327,11.7610775307
45,0.0877063347,11.9587191452
46,0.1029386032,12.1543816145
47,0.1192746381,12.3480718315
48,0.1366899220,12.5397966867
49,0.1551602190,12.7295630685
50,0.1746615727,12.9173778634
51,0.1951703048,13.1032479563
52,0.2166630134,13.2871802304
53,0.2391165716,13.4691815677
54,0.2625081253,13.6492588491
55,0.2868150924,13.8274189545
56,0.3120151605,14.0036687632
57,0.3380862857,14.1780151537
58,0.3650066907,14.3504650042
59,0.3927548635,14.5210251927
60,0.4213095554,14.6897025970
61,0.4506497798,14.8565040950
62,0.4807548102,15.0214365647
63,0.5116041790,15.1845068848
64,0.5431776755,15.3457219342
65,0.5754553444,15.5050885925
66,0.6084174843,15.6626137401
67,0.6420446463,15.8183042583
68,0.6763176317,15.9721670295
69,0.7112174911,16.1242089370
70,0.7467255224,16.2744368657
71,0.7828232694,16.4228577016
72,0.8194925201,16.5694783324
73,0.8567153049,16.7143056471
74,0.8944738956,16.8573465368
75,0.9327508030,16.9986078939
76,0.9715287761,17.1380966131
77,1.0107907997,17.2758195909
78,1.0505200937,17.4117837258
79,1.0907001105,17.5459959184
80,1.1313145345,17.6784630717
81,1.1723472794,17.8091920908
82,1.2137824877,17.9381898833
83,1.2556045280,18.0654633591
84,1.2977979945,18.1910194307
85,1.3403477046,18.3148650131
86,1.3832386978,18.4370070238
87,1.4264562339,18.5574523832
88,1.4699857914,18.6762080141
89,1.5138130661,18.7932808424
90,1.5579239693,18.9086777966
91,1.6023046266,19.0224058080
92,1.6469413759,19.1344718110
93,1.6918207660,19.2448827427
94,1.7369295553,19.3536455432
95,1.7822547098,19.4607671557
96,1.8277834017,19.5662545263
97,1.8735030082,19.6701146042
98,1.9194011093,19.7723543415
99,1.9654654868,19.8729806937
100,2.0116841226,19.9720006189
101,2.0580451968,20.0694210788
102,2.1045370868,20.1652490378
103,2.1511483653,20.2594914638
104,2.1978677988,20.3521553274
105,2.2446843463,20.4432476027
106,2.2915871576,20.5327752668
107,2.3385655717,20.6207452998
108,2.3856091154,20.7071646850
109,2.4327075020,20.7920404089
110,2.4798506292,20.8753794610
111,2.5270285782,20.9571888339
112,2.5742316117,21.0374755233
113,2.6214501727,21.1162465279
114,2.6686748829,21.1935088496
115,2.7158965413,21.2692694932
116,2.7631061225,21.3435354664
117,2.8102947753,21.4163137801
118,2.8574538213,21.4876114480
119,2.9045747534,21.5574354867
120,2.9516492340,21.6257929158
121,2.9986690940,21.6926907576
122,3.0456263311,21.7581360375
123,3.0925131082,21.8221357833
124,3.1393217521,21.8846970258
125,3.1860447522,21.9458267985
126,3.2326747585,22.0055321374
127,3.2792045807,22.0638200814
128,3.3256271864,22.1206976716
129,3.3719357000,22.1761719520
130,3.4181234007,22.2302499688
131,3.4641837217,22.2829387708
132,3.5101102484,22.3342454090
133,3.5558967168,22.3841769371
134,3.6015370125,22.4327404105
135,3.6470251691,22.4799428874
136,3.6923553666,22.5257914277
137,3.7375219302,22.5702930937
138,3.7825193289,22.6134549495
139,3.8273421739,22.6552840613
140,3.8719852174,22.6957874972
141,3.9164433511,22.7349723272
142,3.9607116048,22.7728456231
143,4.0047851450,22.8094144581
144,4.0486592737,22.8446859075
145,4.0923294266,22.8786670478
146,4.1357911723,22.9113649573
147,4.1790402104,22.9427867155
148,4.2220723704,22.9729394034
149,4.2648836104,23.0018301032
150,4.3074700154,23.0294658984
151,4.3498277965,23.0558538735
152,4.3919532891,23.0810011143
153,4.4338429515,23.1049147073
154,4.4754933640,23.1276017400
155,4.5169012272,23.1490693009
156,4.5580633608,23.1693244789
157,4.5989767024,23.1883743639
158,4.6396383059,23.2062260462
159,4.6800453403,23.2228866165
160,4.7201950887,23.2383631660
161,4.7600849462,23.2526627864
162,4.7997124198,23.2657925694
163,4.8390751258,23.2777596068
164,4.8781707896,23.2885709908
165,4.9169972437,23.2982338131
166,4.9555524268,23.3067551658
167,4.9938343824,23.3141421404
168,5.0318412573,23.3204018282
169,5.0695713010,23.3255413203
170,5.1070228638,23.3295677070
171,5.1441943956,23.3324880783
172,5.1810844451,23.3343095235
173,5.2176916581,23.3350391310
174,5.2540147765,23.3346839884
175,5.2900526371,23.3332511825
176,5.3258041702,23.3307477989
177,5.3612683983,23.3271809222
178,5.3964444353,23.3225576355
179,5.4313314850,23.3168850210
180,5.4659288399,23.3101701592
181,5.5002358799,23.3024201290
182,5.5342520715,23.2936420079
183,5.5679769661,23.2838428716
184,5.6014101994,23.2730297941
185,5.6345514895,23.2612098472
186,5.6674006365,23.2483901009
187,5.6999575207,23.2345776232
188,5.7322221019,23.2197794797
189,5.7641944179,23.2040027337
190,5.7958745835,23.1872544463
191,5.8272627896,23.1695416758
192,5.8583593015,23.1508714781
193,5.8891644584,23.1312509063
