Algorithm,Problem,Run,Time,Evaluations,BestFitness
OptiPath Final,prob5,5,60,171361,930,866665
OptiPath Final,prob5,3,60,173640,678,535361
OptiPath Final,prob5,1,60,173260,679,954169
OptiPath Final,prob5,4,60,170451,922,260896
OptiPath Final,prob5,2,60,175239,923,307725
OptiPath Final,prob5,6,60,117370,923,246978
OptiPath Final,prob5,3,60,118325,923,117518
OptiPath Final,prob5,5,60,118403,688,931992
OptiPath Final,prob5,7,60,118077,924,399766
OptiPath Final,prob5,9,60,118605,924,150079
OptiPath Final,prob5,2,60,118578,928,199698
OptiPath Final,prob5,10,60,119097,942,186894
OptiPath Final,prob5,1,60,118676,925,143565
OptiPath Final,prob5,4,60,118807,923,587717
OptiPath Final,prob5,8,60,118217,923,013465
OptiPath Final,prob5,1,60,189191,932,182649
OptiPath Final,prob5,2,60,229690,678,030077
OptiPath Final,prob5,3,60,232106,678,485821
OptiPath Final,prob5,4,60,237573,689,120223
OptiPath Final,prob5,5,60,235996,924,177900
OptiPath Final,prob5,6,60,235285,677,931577
OptiPath Final,prob5,7,60,224207,677,505921
OptiPath Final,prob5,8,60,224224,933,451904
OptiPath Final,prob5,9,60,227065,928,998060
OptiPath Final,prob5,10,60,219973,922,497746
