variant,problem,run,fitness
V0-Portfolio50/50,prob1,1,36,352973
V0-Portfolio50/50,prob1,2,36,363664
V0-Portfolio50/50,prob1,3,36,394452
V0-Portfolio50/50,prob1,4,36,371474
V0-Portfolio50/50,prob1,5,36,371958
V0-Portfolio50/50,prob1,6,36,358887
V0-Portfolio50/50,prob1,7,36,367516
V0-Portfolio50/50,prob1,8,36,360877
V0-Portfolio50/50,prob1,9,36,357694
V0-Portfolio50/50,prob1,10,37,389240
V0-Portfolio50/50,prob2,1,31,421289
V0-Portfolio50/50,prob2,2,31,421352
V0-Portfolio50/50,prob2,3,31,421293
V0-Portfolio50/50,prob2,4,31,421008
V0-Portfolio50/50,prob2,5,31,422048
V0-Portfolio50/50,prob2,6,31,420988
V0-Portfolio50/50,prob2,7,31,421429
V0-Portfolio50/50,prob2,8,31,421782
V0-Portfolio50/50,prob2,9,31,424904
V0-Portfolio50/50,prob2,10,31,421364
V0-Portfolio50/50,prob3,1,28,598539
V0-Portfolio50/50,prob3,2,29,460643
V0-Portfolio50/50,prob3,3,28,880509
V0-Portfolio50/50,prob3,4,28,277449
V0-Portfolio50/50,prob3,5,28,651762
V0-Portfolio50/50,prob3,6,29,377874
V0-Portfolio50/50,prob3,7,28,981302
V0-Portfolio50/50,prob3,8,28,281089
V0-Portfolio50/50,prob3,9,28,255207
V0-Portfolio50/50,prob3,10,29,838024
V0-Portfolio50/50,prob4,1,94,735973
V0-Portfolio50/50,prob4,2,94,788292
V0-Portfolio50/50,prob4,3,2507,550236
V0-Portfolio50/50,prob4,4,2961,086647
V0-Portfolio50/50,prob4,5,2606,968245
V0-Portfolio50/50,prob4,6,93,925373
V0-Portfolio50/50,prob4,7,1203,317626
V0-Portfolio50/50,prob4,8,3590,433511
V0-Portfolio50/50,prob4,9,1398,389774
V0-Portfolio50/50,prob4,10,1434,377977
V1-Asymmetric70/30,prob1,1,36,335485
V1-Asymmetric70/30,prob1,2,36,363709
V1-Asymmetric70/30,prob1,3,36,385265
V1-Asymmetric70/30,prob1,4,36,358366
V1-Asymmetric70/30,prob1,5,37,359382
V1-Asymmetric70/30,prob1,6,36,358980
V1-Asymmetric70/30,prob1,7,36,356052
V1-Asymmetric70/30,prob1,8,37,393479
V1-Asymmetric70/30,prob1,9,36,357611
V1-Asymmetric70/30,prob1,10,36,384959
V1-Asymmetric70/30,prob2,1,31,421342
V1-Asymmetric70/30,prob2,2,31,422309
V1-Asymmetric70/30,prob2,3,31,421360
V1-Asymmetric70/30,prob2,4,31,421455
V1-Asymmetric70/30,prob2,5,31,421126
V1-Asymmetric70/30,prob2,6,31,421167
V1-Asymmetric70/30,prob2,7,31,421598
V1-Asymmetric70/30,prob2,8,31,421274
V1-Asymmetric70/30,prob2,9,31,421759
V1-Asymmetric70/30,prob2,10,31,421376
V1-Asymmetric70/30,prob3,1,29,030771
V1-Asymmetric70/30,prob3,2,28,265292
V1-Asymmetric70/30,prob3,3,28,557465
V1-Asymmetric70/30,prob3,4,29,665569
V1-Asymmetric70/30,prob3,5,29,464698
V1-Asymmetric70/30,prob3,6,29,790537
V1-Asymmetric70/30,prob3,7,28,385837
V1-Asymmetric70/30,prob3,8,29,984866
V1-Asymmetric70/30,prob3,9,28,470969
V1-Asymmetric70/30,prob3,10,29,498677
V1-Asymmetric70/30,prob4,1,2588,203693
V1-Asymmetric70/30,prob4,2,2648,300812
V1-Asymmetric70/30,prob4,3,1262,064136
V1-Asymmetric70/30,prob4,4,1516,974788
V1-Asymmetric70/30,prob4,5,2721,798333
V1-Asymmetric70/30,prob4,6,1417,556455
V1-Asymmetric70/30,prob4,7,95,141639
V1-Asymmetric70/30,prob4,8,94,019844
V1-Asymmetric70/30,prob4,9,2640,851013
V1-Asymmetric70/30,prob4,10,3421,502950
V2-Adaptive,prob1,1,36,362617
V2-Adaptive,prob1,2,37,360172
V2-Adaptive,prob1,3,36,399250
V2-Adaptive,prob1,4,36,352658
V2-Adaptive,prob1,5,36,738259
V2-Adaptive,prob1,6,36,944676
V2-Adaptive,prob1,7,37,391964
V2-Adaptive,prob1,8,37,381264
V2-Adaptive,prob1,9,37,358633
V2-Adaptive,prob1,10,36,354218
V2-Adaptive,prob2,1,31,421243
V2-Adaptive,prob2,2,31,420924
V2-Adaptive,prob2,3,31,421340
V2-Adaptive,prob2,4,31,420950
V2-Adaptive,prob2,5,31,421305
V2-Adaptive,prob2,6,31,420963
V2-Adaptive,prob2,7,31,421537
V2-Adaptive,prob2,8,31,421258
V2-Adaptive,prob2,9,31,421007
V2-Adaptive,prob2,10,31,421349
V2-Adaptive,prob3,1,28,681118
V2-Adaptive,prob3,2,28,946959
V2-Adaptive,prob3,3,29,078569
V2-Adaptive,prob3,4,29,727250
V2-Adaptive,prob3,5,29,489671
V2-Adaptive,prob3,6,29,419534
V2-Adaptive,prob3,7,28,352703
V2-Adaptive,prob3,8,28,458550
V2-Adaptive,prob3,9,28,318035
V2-Adaptive,prob3,10,28,510111
V2-Adaptive,prob4,1,3273,607609
V2-Adaptive,prob4,2,1529,169899
V2-Adaptive,prob4,3,3266,231290
V2-Adaptive,prob4,4,2908,951396
V2-Adaptive,prob4,5,2552,083071
V2-Adaptive,prob4,6,2800,413822
V2-Adaptive,prob4,7,2658,748074
V2-Adaptive,prob4,8,2840,231182
V2-Adaptive,prob4,9,2603,611639
V2-Adaptive,prob4,10,1528,089784
V3-AggressiveSeed,prob1,1,36,376528
V3-AggressiveSeed,prob1,2,36,359580
V3-AggressiveSeed,prob1,3,37,388058
